Title,Year,Genre,Director,Cast,Languages,Plot
Class of Nuke 'Em High,1986.0,Comedy|Horror,"Lloyd Kaufman,Richard W. Haines","Janelle Brady,Gil Brenton,Robert Prichard,Pat Ryan,James Nugent Vernon","English,Italiano",The pupils at a high school next to a nuclear power plant start acting and looking strange after buying contaminated drugs from a plant worker.
Burglar,1987.0,Comedy,Hugh Wilson,"Whoopi Goldberg,Bobcat Goldthwait,G.W. Bailey,Lesley Ann Warren,John Goodman",English,"Bernice ""Bernie"" Rhodenbarr is a burglar by trade, and she runs a bookstore as well. Her friend Carl Hefler is a dog groomer. After a successful burglary, it's discovered that a dead body was in the house she burgled. As she's the only one who can be placed at the scene of the crime, she has to use her criminal skills to clear her name of the murder AND avoid getting charged with the burglary."
Indiana Jones and the Last Crusade,1989.0,Action|Adventure,Steven Spielberg,"Harrison Ford,Sean Connery,Denholm Elliott,Alison Doody,John Rhys-Davies","العربية,English,Deutsch,ελληνικά","In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!"
"Couch in New York, A",1996.0,Comedy|Romance,Chantal Akerman,"Juliette Binoche,William Hurt,Paul Guilfoyle,Richard Jenkins,Stephanie Buttle","English,Français","Dr. Henry Harriston is a successful psychoanalyst in New York City. When he is near a nervous breakdown, he arranges to change his flat with Beatrice Saulnier from France for a while. Both don't know each other and both find themselves deeply involved into the social settings of the other, because the decision to change their flats is made overnight. Could be the perfect amusement, but suddenly Henry finds himself beaten up by Beatrice' lover and Beatrice is considered to be Dr. Harriston's substitute by his clients..."
Fluke,1995.0,Children's|Drama,Carlo Carlei,"Matthew Modine,Nancy Travis,Eric Stoltz,Max Pomeranc,Ron Perlman",English,"Workaholic Thomas Johnson dies in an auto accident and reincarnates as a dog. Remembering some of his previous being, he returns to his wife and son to protect them from the man who caused his accident. But, as time goes by, his memories return, and Thomas realizes he wasn't such a good husband and father."
Clear and Present Danger,1994.0,Action|Adventure|Thriller,Phillip Noyce,"Harrison Ford,Willem Dafoe,Anne Archer,Joaquim de Almeida,Henry Czerny",English,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.
Sudden Death,1995.0,Action,Peter Hyams,"Jean-Claude Van Damme,Powers Boothe,Raymond J. Barry,Whittni Wright,Ross Malinger",English,When a man's daughter is suddenly taken during a championship hockey game - with the captors demanding a billion dollars by game's end - he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.
Robocop 2,1990.0,Action|Crime|Sci-Fi,Irvin Kershner,"Peter Weller,Nancy Allen,Tom Noonan,Belinda Bauer,Willard E. Pugh",English,"After a successful deployment of the RoboCop Law Enforcement unit, OCP sees its goal of urban pacification come closer and closer, but as this develops, a new narcotic known as ""Nuke"" invades the streets led by God-delirious leader Cane. As this menace grows, it may prove to be too much for Murphy to handle. OCP tries to replicate the success of the first unit, but ends up with failed prototypes with suicidal issues... until Dr. Faxx, a scientist straying away from OCP's path, uses Cane as the new subject for the RoboCop 2 project, a living God."
"Great Day in Harlem, A",1994.0,Documentary,Jean Bach,"Quincy Jones,Dizzy Gillespie,Sonny Rollins,Buck Clayton",,"Art Kane, now deceased, coordinated a group photograph of all the top jazz musicians in NYC in the year 1958, for a piece in Esquire magazine. Just about every jazz musician at the time showed up for the photo shoot which took place in front of a brownstone near the 125th street station. The documentary compiles interviews of many of the musicians in the photograph to talk about the day of the photograph, and it shows film footage taken that day by Milt Hinton and his wife."
Judgment Night,1993.0,Action,Stephen Hopkins,"Emilio Estevez,Cuba Gooding Jr.,Denis Leary,Stephen Dorff,Jeremy Piven",English,"While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat and mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama."
Rocky IV,1985.0,Action|Drama,Sylvester Stallone,"Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,Brigitte Nielsen",English,"Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Ivan Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union."
Mr. & Mrs. Smith,1941.0,Comedy,Alfred Hitchcock,"Carole Lombard,Robert Montgomery,Gene Raymond,Jack Carson,Philip Merivale",English,"Happily married for three years, Ann and David Smith live in New York. One morning Ann asks David if he had to do it over again, would he marry her? To her shock, he answers, ""No"". Later that day, they separately discover that, due to a legal complication, they are not legally married."
Don Juan DeMarco,1994.0,Comedy|Drama|Romance,Jeremy Leven,"Johnny Depp,Marlon Brando,Faye Dunaway,Géraldine Pailhas,Bob Dishy",English,"John Arnold DeMarco is a man who believes he is Don Juan, the greatest lover in the world. Clad in a cape and mask, DeMarco undergoes psychiatric treatment with Dr. Jack Mickler to cure him of his apparent delusion. But the psychiatric sessions have an unexpected effect on the psychiatric staff and, most profoundly, Dr Mickler, who rekindles the romance in his complacent marriage."
"Scarlet Letter, The",1927.0,Drama,Victor Sjöström,"Lillian Gish,Lars Hanson,Henry B. Walthall,Karl Dane,William H. Tooker",No Language,"In Puritan Boston, seamstress Hester Prynne and kindly Reverend Arthur Dimmesdale fall in love. After Dimmesdale must go away for a time to England, he returns to discover that Hester has given birth to their child and is the focus of local censure."
Live and Let Die,1973.0,Action,Guy Hamilton,"Roger Moore,Yaphet Kotto,Jane Seymour,Clifton James,Julius Harris","English,Magyar",James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.
Normal Life,1996.0,Crime|Drama,John McNaughton,"Ashley Judd,Luke Perry,Bruce A. Young,Jim True-Frost,Edmund Wyson",English,"Chris Anderson and his wife Pam live a fairly normal life until Chris loses his job on the police force and secretly turns to robbing banks to make his wife's dreams come true. Upon discovering his secret, she joins his deadly crime wave and together they terrorize an unsuspecting suburban town."
Something Wicked This Way Comes,1983.0,Children's|Horror,Jack Clayton,"Jason Robards,Jonathan Pryce,Diane Ladd,Royal Dano,Vidal Peterson",English,"In a small American town, a diabolical circus arrives, granting wishes for the townsfolk, but twisted as only the esteemed Mr. Dark can make them. Can two young boys overcome the worst the devil himself can deal out?"
Shaft in Africa,1973.0,Action|Crime,John Guillermin,"Richard Roundtree,Frank Finlay,Vonetta McGee,Neda Arnerić,Debebe Eshetu",English,"Detective John Shaft travels incognito to Ethiopia, then France, to bust a human trafficking ring."
Supernova,2000.0,Adventure|Sci-Fi,Walter Hill,"James Spader,Angela Bassett,Robert Forster,Lou Diamond Phillips,Peter Facinelli",English,"Set in the 22nd century, when a battered salvage ship sends out a distress signal, the seasoned crew of the rescue hospital ship Nova-17 responds. What they find is a black hole--that threatens to destroy both ships--and a mysterious survivor whose body quickly mutates into a monstrous and deadly form."
Shane,1953.0,Drama|Western,George Stevens,"Alan Ladd,Jean Arthur,Van Heflin,Brandon De Wilde,Jack Palance",English,"A weary gunfighter attempts to settle down with a homestead family, but a smouldering settler and rancher conflict forces him to act."
Heathers,1989.0,Comedy,Michael Lehmann,"Winona Ryder,Christian Slater,Shannen Doherty,Lisanne Falk,Kim Walker",English,"A girl who halfheartedly tries to be part of the ""in crowd"" of her school meets a rebel who teaches her a more devious way to play social politics: by killing the popular kids."
"Negotiator, The",1998.0,Action|Thriller,F. Gary Gray,"Samuel L. Jackson,Kevin Spacey,David Morse,Ron Rifkin,John Spencer",English,"The police try to arrest expert hostage negotiator Danny Roman, who insists he's being framed for his partner's murder in what he believes is an elaborate conspiracy. Thinking there's evidence in the Internal Affairs offices that might clear him, he takes everyone in the office hostage and demands that another well-known negotiator be brought in to handle the situation and secretly investigate the conspiracy."
Lost Highway,1997.0,Mystery,David Lynch,"Bill Pullman,Patricia Arquette,Balthazar Getty,Robert Blake,Natasha Gregson Wagner",English,"A tormented jazz musician finds himself lost in an enigmatic story involving murder, surveillance, gangsters, doppelgängers, and an impossible transformation inside a prison cell."
Cat on a Hot Tin Roof,1958.0,Drama,Richard Brooks,"Elizabeth Taylor,Paul Newman,Burl Ives,Judith Anderson,Jack Carson",English,"An alcoholic ex-football player drinks his days away, having failed to come to terms with his sexuality and his real feelings for his football buddy who died after an ambiguous accident. His wife is crucified by her desperation to make him desire her: but he resists the affections of his wife. His reunion with his father—who is dying of cancer—jogs a host of memories and revelations for both father and son."
Who's Afraid of Virginia Woolf?,1966.0,Drama,Mike Nichols,"Richard Burton,Elizabeth Taylor,George Segal,Sandy Dennis,Agnes Flanagan","English,Latin","A history professor and his wife entertain a young couple who are new to the university's faculty. As the drinks flow, secrets come to light, and the middle-aged couple unload onto their guests the full force of the bitterness, dysfunction, and animosity that defines their marriage."
Porky's,1981.0,Comedy,Bob Clark,"Dan Monahan,Mark Herrier,Wyatt Knight,Cyril O'Reilly,Kaki Hunter","English,Italiano","In 1954 Florida, a group of high schoolers seek out to lose their virginity which leads them to seek revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them."
Wonderland,1997.0,Documentary,John O'Hagan,"Bill Griffith,Eddie Money",English,"Welcome to Levittown, New York - America's first cookie-cutter community. From wife-swapping to bomb shelters, to flag burning, Wonderland takes a hilarious and unforgettable look at life in a town where thousands of identical-looking houses were assigned to their residents in alphabetical order."
Bound for Glory,1976.0,Drama,Hal Ashby,"David Carradine,Ronny Cox,Melinda Dillon,Gail Strickland,John Lehne",English,"A biography of Woody Guthrie, one of America's greatest folk singers. He left his dust-devastated Texas home in the 1930s to find work, discovering the suffering and strength of America's working class."
Asylum,1972.0,Horror,Roy Ward Baker,"Peter Cushing,Patrick Magee,Herbert Lom,Britt Ekland,Barry Morse",English,"A young psychiatrist applies for a job at a mental asylum, and must pass a test by interviewing four patients. He must figure out which of the patients, is in fact, the doctor that he would be replacing if hired."
"Grandview, U.S.A.",1984.0,Drama,Randal Kleiser,"Jamie Lee Curtis,C. Thomas Howell,Patrick Swayze,Jennifer Jason Leigh,William Windom",English,"Life in the small town of Grandview, Illinois is one that is just like any other city or town. Tim Pearson, soon to be graduating high school wants to go to Florida to study oceanography. He meets Michelle ""Mike"" Cody and is attracted to her. She runs the local Demolition Derby place. Ernie ""Slam"" Webster is one of the drivers in the derby whose wife is cheating on him and wants to later on be with Mike. Tim falls for Mike and a big love triangle is about to happen."
Men With Guns,1998.0,Action|Drama,Kari Skogland,"Donal Logue,Max Perlich,Paul Sorvino,Callum Keith Rennie,Gregory Sporleder","English,Français","Three losers, Eddie, Lucas and Mamet, are sent to collect some debt at a remote farm. But the thugs there are too hard for them, and they are humiliated. They return for revenge, it gets out of hand, ends with a bloodbath and they are left with a big amount of cocaine. The drugs belong to local mob boss Horace Burke, who sends his son to find them. Cops are also after them."
"Haunting, The",1999.0,Horror|Thriller,Jan de Bont,"Liam Neeson,Lili Taylor,Catherine Zeta-Jones,Owen Wilson,Bruce Dern",English,Dr. David Marrow invites three distinct individuals to the eerie and isolated Hill House to be subjects for a sleep disorder study. The unfortunate guests discover that Marrow is far more interested in the sinister mansion itself — and they soon see the true nature of its horror.
Conceiving Ada,1999.0,Drama|Sci-Fi,Lynn Hershman-Leeson,"Tilda Swinton,Francesca Faridany,Timothy Leary,Karen Black,John Perry Barlow",English,"Emmy Coer, a computer genius, devises a method of communicating with the past by tapping into undying information waves. She manages to reach the world of Ada Lovelace, founder of the idea of a computer language and proponent of the possibilities of the ""difference engine."" Ada's ideas were stifled and unfulfilled because of the reality of life as a woman in the nineteenth century. Emmy has a plan to defeat death and the past using her own DNA as a communicative agent to the past, bringing Ada to the present. But what are the possible ramifications?"
Mad Max 2 (a.k.a. The Road Warrior),1981.0,Action|Sci-Fi,George Miller,"Mel Gibson,Bruce Spence,Michael Preston,Max Phipps,Vernon Wells",English,"Max Rockatansky returns as the heroic loner who drives the dusty roads of a postapocalyptic Australian Outback in an unending search for gasoline. Arrayed against him and the other scraggly defendants of a fuel-depot encampment are the bizarre warriors commanded by the charismatic Lord Humungus, a violent leader whose scruples are as barren as the surrounding landscape."
Geronimo: An American Legend,1993.0,Drama|Western,Walter Hill,"Jason Patric,Gene Hackman,Robert Duvall,Wes Studi,Matt Damon",English,"The Apache Indians have reluctantly agreed to settle on a US Government approved reservation. Not all the Apaches are able to adapt to the life of corn farmers. One in particular, Geronimo, is restless. Pushed over the edge by broken promises and necessary actions by the government, Geronimo and thirty or so other warriors form an attack team which humiliates the government by evading capture, while reclaiming what is rightfully theirs."
Gremlins,1984.0,Comedy|Horror,Joe Dante,"Zach Galligan,Phoebe Cates,Hoyt Axton,Frances Lee McCain,Corey Feldman","English,Español","When Billy Peltzer is given a strange but adorable pet named Gizmo for Christmas, he inadvertently breaks the three important rules of caring for a Mogwai, unleashing a horde of mischievous gremlins on a small town."
"Candidate, The",1972.0,Drama,Michael Ritchie,"Robert Redford,Peter Boyle,Melvyn Douglas,Don Porter,Allen Garfield",English,"Bill McKay is a candidate for the U.S. Senate from California. He has no hope of winning, so he is willing to tweak the establishment."
Mr. Jones,1993.0,Drama|Romance,Mike Figgis,"Richard Gere,Lena Olin,Anne Bancroft,Tom Irwin,Delroy Lindo",English,"The story about the relationship between a manic depressive man, Mr Jones, and the female doctor who takes more than a professional interest in his treatment."
Mary Reilly,1996.0,Drama|Thriller,Stephen Frears,"Julia Roberts,John Malkovich,George Cole,Michael Gambon,Glenn Close",English,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde."
Bent,1997.0,Drama|War,Sean Mathias,"Lothaire Bluteau,Clive Owen,Brian Webber,Ian McKellen,Mick Jagger",English,"Max is a handsome young man who, after a fateful tryst with a German soldier, is forced to run for his life. Eventually Max is placed in a concentration camp where he pretends to be Jewish because in the eyes of the Nazis, gays are the lowest form of human being. But it takes a relationship with an openly gay prisoner to teach Max that without the love of another, life is not worth living."
"Little Princess, The",1939.0,Children's|Drama,Walter Lang,"Shirley Temple,Richard Greene,Anita Louise,Ian Hunter,Arthur Treacher",English,A little girl goes in search of her father who is reported missing by the military during the Second Boer War.
Freddy's Dead: The Final Nightmare,1991.0,Horror,Rachel Talalay,"Robert Englund,Lisa Zane,Shon Greenblatt,Lezlie Deane,Yaphet Kotto",English,"Just when you thought it was safe to sleep, Freddy Krueger returns in this sixth installment of the Nightmare on Elm Street films, as psychologist Maggie Burroughs, tormented by recurring nightmares, meets a patient with the same horrific dreams. Their quest for answers leads to a certain house on Elm Street -- where the nightmares become reality."
As Good As It Gets,1997.0,Comedy|Drama,James L. Brooks,"Jack Nicholson,Helen Hunt,Greg Kinnear,Cuba Gooding Jr.,Shirley Knight",English,"Melvin Udall, a cranky, bigoted, obsessive-compulsive writer of romantic fiction, is rude to everyone he meets, including his gay neighbor, Simon. After Simon is hospitalized, Melvin finds his life turned upside down when he has to look after Simon's dog. In addition, Carol, the only waitress at the local diner who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast."
Star Maps,1997.0,Drama,Miguel Arteta,"Douglas Spain,Efrain Figueroa,Kandeyce Jorden,Martha Velez,Lysa Flores","English,Español","Carlos wants to be an actor. But his father, Pepe, wants him to work in the family business, that is, male prostitution. Carlos decides that he will be one of his father's boys until he can get his foot in the door in Hollywood."
Analyze This,1999.0,Comedy,Harold Ramis,"Robert De Niro,Billy Crystal,Lisa Kudrow,Chazz Palminteri,Kresh Novakovic",English,"Countless wiseguy films are spoofed in this film that centers on the neuroses and angst of a powerful Mafia racketeer who suffers from panic attacks. When Paul Vitti needs help dealing with his role in the ""family,"" unlucky shrink Dr. Ben Sobel is given just days to resolve Vitti's emotional crisis and turn him into a happy, well-adjusted gangster."
Awakenings,1990.0,Drama,Penny Marshall,"Robert De Niro,Robin Williams,John Heard,Julie Kavner,Penelope Ann Miller",English,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor."
"Goodbye, 20th Century (Zbogum na dvadesetiot vek)",1998.0,Drama|Sci-Fi,"Darko Mitrevski,Aleksandar Popovski","Lazar Ristovski,Nikola Ristanovski,Vlado Jovanovski,Dejan Aćimović,Petar Temelkovski","English,","In the year 2019, after global destruction and descent into savagery, the immortal Kuzman tried to discover his destiny in order to learn how to die. As he enters the whirling circles of time, we discover the blasphemy of our century, and how it is to close its circle."
Backbeat,1994.0,Drama|Musical,Iain Softley,"Stephen Dorff,Ian Hart,Sheryl Lee,Gary Bakewell,Chris O'Neill","Français,English,Pусский,Deutsch,Magyar","Chronicles the early days of The Beatles in Hamburg, Germany. The film focuses primarily on the relationship between Stuart Sutcliffe, John Lennon, and Sutcliffe's girlfriend Astrid Kirchherr."
Cliffhanger,1993.0,Action|Adventure|Crime,Renny Harlin,"Sylvester Stallone,John Lithgow,Michael Rooker,Janine Turner,Rex Linn",English,"A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money."
"Rainmaker, The",1997.0,Drama,Francis Ford Coppola,"Matt Damon,Claire Danes,Danny DeVito,Jon Voight,Mary Kay Place",English,"When Rudy Baylor, a young attorney with no clients, goes to work for a seedy ambulance chaser, he wants to help the parents of a terminally ill boy in their suit against an insurance company. But to take on corporate America, Rudy and a scrappy paralegal must open their own law firm."
Gaslight,1944.0,Mystery|Thriller,George Cukor,"Charles Boyer,Ingrid Bergman,Joseph Cotten,May Whitty,Angela Lansbury",English,A newlywed fears she's going mad when strange things start happening at the family mansion.
Tom Jones,1963.0,Comedy,Tony Richardson,"Albert Finney,Susannah York,Hugh Griffith,Edith Evans,Joan Greenwood",English,Tom loves Sophie and Sophie loves Tom. But Tom and Sophie are of differering classes. Can they find a way through the mayhem to be true to love?
Come See the Paradise,1990.0,Drama|Romance,Alan Parker,"Dennis Quaid,Tamlyn Tomita,Sab Shimono,Brady Tsurutani,Shizuko Hoshi","日本語,English","Come See The Paradise is a deeply touching love story set against the backdrop of a dramatic and controversial period in American history, It follows the romance and eventual marriage of Jack McGurn (Dennis Quad), a hot blooded Irish American, and a beautiful Japanese American Lily Dawanura (Tamlyn Tomita), at the outset of World War II. The clash of cultures, at once painful for the two lovers, becomes insurmountable after the Japanese bomb Pearl Harbor. Lily and the Kawamuras are relocated To a bleak, outdoor internment camp in California, Jack is drafted into the Army, powerless to help the woman he loves abandoning all hope of ever winning her family's approval."
"Art of War, The",2000.0,Action,Christian Duguay,"Wesley Snipes,Donald Sutherland,Maury Chaykin,Anne Archer,Michael Biehn",English,"When ruthless terrorists threaten to bring down the United Nations, they frame the one man they believe can stop them: an international security expert named Shaw. Now he must run from his own allies and become a solitary force for good, as he tries to stop what could become World War III."
Grateful Dead,1996.0,Documentary,Paul McCartney,,English,
Death Wish 3,1985.0,Action|Drama,Michael Winner,"Charles Bronson,Deborah Raffin,Ed Lauter,Martin Balsam,Gavan O'Herlihy",English,Architect/vigilante Paul Kersey arrives back in New York City and is forcibly recruited by a crooked police chief to fight street crime caused by a large gang terrorizing the neighborhoods.
"Treasure of the Sierra Madre, The",1948.0,Adventure,John Huston,"Humphrey Bogart,Walter Huston,Tim Holt,Bruce Bennett,Barton MacLane",English,"Fred C. Dobbs and Bob Curtin, both down on their luck in Tampico, Mexico in 1925, meet up with a grizzled prospector named Howard and decide to join with him in search of gold in the wilds of central Mexico. Through enormous difficulties, they eventually succeed in finding gold, but bandits, the elements, and most especially greed threaten to turn their success into disaster."
"Virgin Suicides, The",1999.0,Comedy|Drama,Sofia Coppola,"James Woods,Kathleen Turner,Kirsten Dunst,Josh Hartnett,Michael Paré",English,"A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents."
Nurse Betty,2000.0,Comedy|Thriller,Neil LaBute,"Morgan Freeman,Renée Zellweger,Chris Rock,Greg Kinnear,Aaron Eckhart","Español,English","What happens when a person decides that life is merely a state of mind? If you're Betty, a small-town waitress and soap opera fan from Fair Oaks, Kansas, you refuse to believe that you can't be with the love of your life just because he doesn't really exist. After all, life is no excuse for not living. Traumatized by a savage event, Betty enters into a fugue state that allows -- even encourages -- her to keep functioning... in a kind of alternate reality."
"Love, etc.",1996.0,Drama,Marion Vernoux,"Charlotte Gainsbourg,Yvan Attal,Charles Berling,Thibault de Montalembert,Élodie Navarre",Français,"A triangle: love, obsession, and choice. Pierre, a ladies' man who has little cash and no fixed residence, describes his best friend Benoît as the world's oldest 32-year-old. The shy, well-employed Benoît's life changes when he answers the personal ad of Marie, a 25-year-old who restores paintings. He's attracted to her and she likes his steady calm and his honest attention. They're soon a couple, and they include Pierre in their dinners, outings, and trips. What will happen when Pierre realizes that he too is in love with Marie?"
Porky's Revenge,1985.0,Comedy,James Komack,"Dan Monahan,Wyatt Knight,Tony Ganios,Mark Herrier,Kaki Hunter",English,"As graduation nears for the class of 1955 at Angel Beach High, the gang once again faces off against their old enemy, Porky, who wants them to throw the school's championship basketball game since he has bet on the opposing team."
"Night to Remember, A",1958.0,Action|Drama,Roy Ward Baker,"Kenneth More,Ronald Allen,Robert Ayres,Honor Blackman,Anthony Bushell","Deutsch,English,Italiano,Polski,Pусский","The sinking of the Titanic is presented in a highly realistic fashion in this tense British drama. The disaster is portrayed largely from the perspective of the ocean liner's second officer, Charles Lightoller. Despite numerous warnings about ice, the ship sails on, with Capt. Edward John Smith keeping it going at a steady clip. When the doomed vessel finally hits an iceberg, the crew and passengers discover that they lack enough lifeboats, and tragedy follows."
How to Make an American Quilt,1995.0,Drama|Romance,Jocelyn Moorhouse,"Winona Ryder,Anne Bancroft,Ellen Burstyn,Kate Nelligan,Jean Simmons",English,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom."
Back to the Future,1985.0,Comedy|Sci-Fi,Robert Zemeckis,"Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,Thomas F. Wilson",English,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985."
"Lawnmower Man, The",1992.0,Action|Sci-Fi|Thriller,Brett Leonard,"Jeff Fahey,Pierce Brosnan,Jenny Wright,Mark Bringelson,Geoffrey Lewis",English,A simple man is turned into a genius through the application of computer science.
My Name Is Joe,1998.0,Drama|Romance,Ken Loach,"Peter Mullan,Louise Goodall,David McKay,Gary Lewis,David Hayman",English,"Two thirtysomethings, unemployed former alcoholic Joe and community health worker Sarah, start a romantic relationship in the one of the toughest Glasgow neighbourhoods."
"Navigator: A Mediaeval Odyssey, The",1988.0,Adventure|Fantasy|Sci-Fi,Vincent Ward,"Bruce Lyons,Chris Haywood,Hamish McFarlane,Marshall Napier,Noel Appleby",English,"Cumberland, 1348. The plague is spreading in medieval England. The remote village of little Griffin is also threatened. But the 9-year-old boy has a recurring dream that holds the key to a tiny hope of survival: a lake with a coffin floating on it. A white church with an iron cross. A falling glove. A falling silhouette. A torch tumble through a dark shaft into infinity. With his brother he recognizes in it a prophecy to escape the Black Death. So they embark with a few men on a journey to a distant cathedral, where they want to set up an iron cross as an offering to God. Her path leads them through a deep and dark mine shaft into an unknown land and completely outlandish time - into the present-day New Zealand of the 1980s."
Trial and Error,1997.0,Comedy|Romance,Jonathan Lynn,"Michael Richards,Jeff Daniels,Charlize Theron,Jessica Steen,Austin Pendleton",English,"An actor poses as a lawyer to help his sick friend, and problems develop."
Sacco and Vanzetti (Sacco e Vanzetti),1971.0,Drama,Giuliano Montaldo,"Gian Maria Volonté,Riccardo Cucciolla,Cyril Cusack,Rosanna Fratello,Geoffrey Keen","English,Italiano","Boston, 1920. Italian immigrants Nicola Sacco and Bartolomeo Vanzetti are charged and unfairly tried for murder on the basis of their anarchic political convictions."
"Blob, The",1958.0,Horror|Sci-Fi,Irvin S. Yeaworth Jr.,"Steve McQueen,Aneta Corsaut,Earl Rowe,John Benson,Robert Fields",English,"A drive-in favorite, this sci-fi classic follows teenagers Steve and his best girl, Jane, as they try to protect their hometown from a gelatinous alien life form that engulfs everything it touches. The first to discover the substance and live to tell about it, Steve and Jane witness the blob destroying an elderly man, then it growing to a terrifying size. But no one else has seen the goo, and policeman Dave refuses to believe the kids without proof."
Prancer,1989.0,Children's|Drama,John D. Hancock,"Rebecca Harrell Tickell,Sam Elliott,John Duda,Rutanya Alda,Cloris Leachman",English,"Jessica, the daughter of an impoverished apple farmer, still believes in Santa Claus. So when she comes across a reindeer with an injured leg, it makes perfect sense to her to assume that it is Prancer, who had fallen from a Christmas display in town. She hides the reindeer in her barn and feeds it cookies, until she can return it to Santa. Her father finds the reindeer an decides to sell it to the butcher, not for venison chops, but as an advertising display."
Hype!,1996.0,Documentary,Doug Pray,"Valerie M. Agnew,Carrie Akre,Jeff Ament,Michael Anderson,Mark Arm",English,"This documentary examines the Seattle scene as it became the focus of a merging of punk rock, heavy metal, and innovation. Building from the grass roots, self-promoted and self-recorded until break-out success of bands like Nirvana brought the record industry to the Pacific Northwest, a phenomenon was born."
"Ice Storm, The",1997.0,Drama,Ang Lee,"Kevin Kline,Joan Allen,Sigourney Weaver,Jamey Sheridan,Christina Ricci",English,"In the weekend after thanksgiving 1973 the Hood family is skidding out of control. Then an ice storm hits, the worst in a century."
Leaving Las Vegas,1995.0,Drama|Romance,Mike Figgis,"Nicolas Cage,Elisabeth Shue,Julian Sands,Richard Lewis,Steven Weber","English,Italiano,Pусский","Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera."
Dark Command,1940.0,Western,Raoul Walsh,"Claire Trevor,John Wayne,Walter Pidgeon,Roy Rogers,George 'Gabby' Hayes",English,"When transplanted Texan Bob Seton arrives in Lawrence, Kansas he finds much to like about the place, especially Mary McCloud, daughter of the local banker. Politics is in the air however. It's just prior to the civil war and there is already a sharp division in the Territory as to whether it will remain slave-free. When he gets the opportunity to run for marshal, Seton finds himself running against the respected local schoolteacher, William Cantrell. Not is what it seems however. While acting as the upstanding citizen in public, Cantrell is dangerously ambitious and is prepared to do anything to make his mark, and his fortune, on the Territory. When he loses the race for marshal, he forms a group of raiders who run guns into the territory and rob and terrorize settlers throughout the territory. Eventually donning Confederate uniforms, it is left to Seton and the good citizens of Lawrence to face Cantrell and his raiders in one final clash."
Seven Chances,1925.0,Comedy,Buster Keaton,"Buster Keaton,T. Roy Barnes,Snitz Edwards,Ruth Dwyer,Frances Raymond",No Language,"Struggling stockbroker Jimmie Shannon learns that, if he gets married by 7 p.m. on his 27th birthday -- which is today -- he'll inherit $7 million from an eccentric relative."
Mad About Mambo,2000.0,Comedy|Romance,John Forte,"William Ash,Alan McKee,Brian Cox,Keri Russell,Maclean Stewart","Deutsch,English",High school student tries to improve soccer skills by practicing dance and falls for his dance partner.
